class_id = 175, name = 175,      ap = 0.00 %
class_id = 176, name = 176,      ap = 0.00 %
class_id = 177, name = 177,      ap = 0.00 %
class_id = 178, name = 178,      ap = 0.00 %
class_id = 179, name = 179,      ap = 0.00 %
class_id = 181, name = 181,      ap = 0.00 %
class_id = 182, name = 182,      ap = 0.00 %
class_id = 183, name = 183,      ap = 0.00 %
class_id = 184, name = 184,      ap = 0.00 %
class_id = 185, name = 185,      ap = 0.00 %
class_id = 186, name = 186,      ap = 0.00 %
class_id = 187, name = 187,      ap = 0.00 %
class_id = 188, name = 188,      ap = 0.00 %
class_id = 189, name = 189,      ap = 0.00 %
class_id = 190, name = 190,      ap = 0.00 %
class_id = 191, name = 191,      ap = 0.00 %
class_id = 194, name = 194,      ap = 0.00 %
class_id = 195, name = 195,      ap = 0.00 %
class_id = 196, name = 196,      ap = 0.00 %
class_id = 197, name = 197,      ap = 0.00 %
class_id = 201, name = 201,      ap = 0.00 %
class_id = 207, name = 207,      ap = 0.00 %
class_id = 208, name = 208,      ap = 0.00 %
class_id = 54, name = 54,        ap = 0.13 %
class_id = 119, name = 119,      ap = 0.21 %
class_id = 17, name = 17,        ap = 0.28 %
class_id = 137, name = 137,      ap = 0.55 %
class_id = 130, name = 130,      ap = 0.72 %
class_id = 105, name = 105,      ap = 1.00 %
class_id = 95, name = 95,        ap = 1.03 %
class_id = 7, name = 7,          ap = 1.15 %
class_id = 94, name = 94,        ap = 1.31 %
class_id = 42, name = 42,        ap = 1.52 %
class_id = 149, name = 149,      ap = 1.67 %
class_id = 9, name = 9,          ap = 1.68 %
class_id = 3, name = 3,          ap = 1.70 %
class_id = 21, name = 21,        ap = 1.70 %
class_id = 6, name = 6,          ap = 2.03 %
class_id = 16, name = 16,        ap = 2.04 %
class_id = 198, name = 198,      ap = 2.05 %
class_id = 135, name = 135,      ap = 2.37 %
class_id = 26, name = 26,        ap = 2.56 %
class_id = 147, name = 147,      ap = 3.03 %
class_id = 8, name = 8,          ap = 3.42 %
class_id = 139, name = 139,      ap = 3.65 %
class_id = 96, name = 96,        ap = 3.91 %
class_id = 71, name = 71,        ap = 3.99 %
class_id = 209, name = 209,      ap = 4.04 %
class_id = 1, name = 1,          ap = 4.35 %
class_id = 55, name = 55,        ap = 4.66 %
class_id = 121, name = 121,      ap = 4.82 %
class_id = 155, name = 155,      ap = 5.03 %
