 calculation mAP (mean average precision)...
7648
 detections_count = 119658, unique_truth_count = 10450
class_id = 46, name = 46,        ap = 0.00 %
class_id = 47, name = 47,        ap = 9.51 %
class_id = 48, name = 48,        ap = 0.00 %
class_id = 49, name = 49,        ap = 36.26 %
class_id = 50, name = 50,        ap = 0.00 %
class_id = 51, name = 51,        ap = 0.00 %
class_id = 52, name = 52,        ap = 0.00 %
class_id = 53, name = 53,        ap = 0.00 %
class_id = 54, name = 54,        ap = 0.00 %
class_id = 55, name = 55,        ap = 1.49 %
class_id = 56, name = 56,        ap = 53.30 %
class_id = 57, name = 57,        ap = 14.02 %
class_id = 58, name = 58,        ap = 31.58 %
class_id = 59, name = 59,        ap = 5.66 %
class_id = 60, name = 60,        ap = 25.75 %
class_id = 61, name = 61,        ap = 0.00 %
class_id = 62, name = 62,        ap = 0.00 %
class_id = 63, name = 63,        ap = 0.00 %
class_id = 64, name = 64,        ap = 65.16 %
class_id = 65, name = 65,        ap = 0.00 %
class_id = 66, name = 66,        ap = 0.00 %
class_id = 67, name = 67,        ap = 0.00 %
class_id = 68, name = 68,        ap = 0.00 %
class_id = 69, name = 69,        ap = 0.00 %
class_id = 70, name = 70,        ap = 0.00 %
class_id = 71, name = 71,        ap = 9.87 %
class_id = 72, name = 72,        ap = 0.00 %
class_id = 73, name = 73,        ap = 0.00 %
class_id = 74, name = 74,        ap = 33.97 %
class_id = 75, name = 75,        ap = 36.70 %
class_id = 76, name = 76,        ap = 0.00 %
class_id = 77, name = 77,        ap = 23.41 %
class_id = 78, name = 78,        ap = 39.10 %
class_id = 79, name = 79,        ap = 63.14 %
class_id = 80, name = 80,        ap = 62.15 %
class_id = 81, name = 81,        ap = 41.77 %
class_id = 82, name = 82,        ap = 0.00 %
class_id = 83, name = 83,        ap = 49.72 %
class_id = 84, name = 84,        ap = 11.84 %
class_id = 85, name = 85,        ap = 14.33 %
class_id = 86, name = 86,        ap = 59.85 %
class_id = 87, name = 87,        ap = 0.00 %
class_id = 88, name = 88,        ap = 0.00 %
class_id = 89, name = 89,        ap = 30.33 %
class_id = 90, name = 90,        ap = 0.00 %
class_id = 91, name = 91,        ap = 0.00 %
class_id = 92, name = 92,        ap = 0.00 %
class_id = 93, name = 93,        ap = 62.15 %
class_id = 94, name = 94,        ap = 6.69 %
class_id = 95, name = 95,        ap = 4.36 %
class_id = 96, name = 96,        ap = 4.92 %
class_id = 97, name = 97,        ap = 0.00 %
class_id = 98, name = 98,        ap = 0.00 %
class_id = 99, name = 99,        ap = 0.00 %
class_id = 100, name = 100,      ap = 0.00 %
class_id = 101, name = 101,      ap = 23.40 %
class_id = 102, name = 102,      ap = 0.00 %
class_id = 103, name = 103,      ap = 0.00 %
class_id = 104, name = 104,      ap = 0.00 %
class_id = 105, name = 105,      ap = 1.24 %
class_id = 106, name = 106,      ap = 0.00 %
class_id = 107, name = 107,      ap = 0.00 %
class_id = 108, name = 108,      ap = 0.00 %
class_id = 109, name = 109,      ap = 0.00 %
class_id = 110, name = 110,      ap = 54.64 %
class_id = 111, name = 111,      ap = 26.60 %
class_id = 112, name = 112,      ap = 24.26 %
class_id = 113, name = 113,      ap = 0.00 %
class_id = 114, name = 114,      ap = 0.00 %
class_id = 115, name = 115,      ap = 0.00 %
class_id = 116, name = 116,      ap = 0.00 %
class_id = 117, name = 117,      ap = 29.62 %
class_id = 118, name = 118,      ap = 39.11 %
class_id = 119, name = 119,      ap = 0.00 %
class_id = 120, name = 120,      ap = 0.00 %
class_id = 121, name = 121,      ap = 42.19 %
class_id = 122, name = 122,      ap = 14.13 %
class_id = 123, name = 123,      ap = 48.67 %
class_id = 124, name = 124,      ap = 0.00 %
class_id = 125, name = 125,      ap = 0.00 %
class_id = 126, name = 126,      ap = 0.00 %
class_id = 127, name = 127,      ap = 17.05 %
class_id = 128, name = 128,      ap = 20.71 %
class_id = 129, name = 129,      ap = 21.91 %
class_id = 130, name = 130,      ap = 24.58 %
class_id = 131, name = 131,      ap = 0.00 %
class_id = 132, name = 132,      ap = 0.00 %
class_id = 133, name = 133,      ap = 22.29 %
class_id = 134, name = 134,      ap = 29.11 %
class_id = 135, name = 135,      ap = 24.61 %
